wl,sci,sce
360,9.60000000,9.56000000
370,9.96000000,9.92000000
380,10.41000000,10.38000000
390,10.85000000,10.83000000
400,11.32000000,11.31000000
410,11.81000000,11.79000000
420,12.30000000,12.29000000
430,12.78000000,12.78000000
440,13.20000000,13.20000000
450,13.53000000,13.53000000
460,13.82000000,13.83000000
470,14.07000000,14.08000000
480,14.28000000,14.28000000
490,14.55000000,14.56000000
500,14.85000000,14.86000000
510,15.14000000,15.15000000
520,15.44000000,15.46000000
530,15.69000000,15.71000000
540,15.96000000,15.98000000
550,16.25000000,16.28000000
560,16.52000000,16.55000000
570,16.76000000,16.79000000
580,16.99000000,17.03000000
590,17.21000000,17.25000000
600,17.36000000,17.41000000
610,17.53000000,17.57000000
620,17.69000000,17.74000000
630,17.81000000,17.86000000
640,17.94000000,18.00000000
650,18.08000000,18.13000000
660,18.15000000,18.22000000
670,18.27000000,18.35000000
680,18.37000000,18.46000000
690,18.49000000,18.58000000
700,18.62000000,18.72000000
710,18.73000000,18.84000000
720,18.83000000,18.95000000
730,18.89000000,19.02000000
740,18.96000000,19.09000000
