wl,sci,sce
360,18.68000000,18.55000000
370,19.91000000,19.80000000
380,21.39000000,21.28000000
390,22.81000000,22.71000000
400,24.20000000,24.11000000
410,25.56000000,25.47000000
420,26.87000000,26.78000000
430,28.20000000,28.11000000
440,29.48000000,29.40000000
450,30.53000000,30.46000000
460,31.42000000,31.34000000
470,32.04000000,31.96000000
480,32.74000000,32.65000000
490,33.54000000,33.45000000
500,34.47000000,34.38000000
510,35.47000000,35.38000000
520,36.48000000,36.40000000
530,37.40000000,37.32000000
540,38.29000000,38.21000000
550,39.10000000,39.03000000
560,39.85000000,39.77000000
570,40.52000000,40.44000000
580,41.07000000,41.00000000
590,41.53000000,41.47000000
600,41.93000000,41.87000000
610,42.29000000,42.24000000
620,42.52000000,42.47000000
630,42.70000000,42.66000000
640,42.87000000,42.85000000
650,43.04000000,43.01000000
660,43.11000000,43.10000000
670,43.15000000,43.16000000
680,43.22000000,43.24000000
690,43.32000000,43.33000000
700,43.41000000,43.42000000
710,43.42000000,43.43000000
720,43.46000000,43.47000000
730,43.45000000,43.44000000
740,43.37000000,43.36000000
