wl,sci,sce
400,0.00000000,34.09000000
410,0.00000000,48.60000000
420,0.00000000,69.88000000
430,0.00000000,76.23000000
440,0.00000000,76.84000000
450,0.00000000,75.31000000
460,0.00000000,73.70000000
470,0.00000000,73.84000000
480,0.00000000,74.19000000
490,0.00000000,75.40000000
500,0.00000000,76.79000000
510,0.00000000,78.58000000
520,0.00000000,80.28000000
530,0.00000000,81.18000000
540,0.00000000,81.71000000
550,0.00000000,82.39000000
560,0.00000000,83.39000000
570,0.00000000,84.56000000
580,0.00000000,85.65000000
590,0.00000000,86.40000000
600,0.00000000,87.11000000
610,0.00000000,87.87000000
620,0.00000000,88.57000000
630,0.00000000,89.12000000
640,0.00000000,89.52000000
650,0.00000000,89.84000000
660,0.00000000,90.12000000
670,0.00000000,90.45000000
680,0.00000000,90.79000000
690,0.00000000,91.00000000
700,0.00000000,91.23000000
