wl,sci,sce
400,0.00000000,5.97000000
410,0.00000000,6.38000000
420,0.00000000,6.98000000
430,0.00000000,7.38000000
440,0.00000000,7.66000000
450,0.00000000,8.40000000
460,0.00000000,9.30000000
470,0.00000000,9.82000000
480,0.00000000,10.04000000
490,0.00000000,11.11000000
500,0.00000000,14.30000000
510,0.00000000,19.90000000
520,0.00000000,26.70000000
530,0.00000000,32.00000000
540,0.00000000,34.98000000
550,0.00000000,36.78000000
560,0.00000000,37.28000000
570,0.00000000,36.70000000
580,0.00000000,35.15000000
590,0.00000000,33.94000000
600,0.00000000,33.28000000
610,0.00000000,32.13000000
620,0.00000000,30.30000000
630,0.00000000,29.59000000
640,0.00000000,27.28000000
650,0.00000000,23.01000000
660,0.00000000,19.85000000
670,0.00000000,15.57000000
680,0.00000000,15.36000000
690,0.00000000,25.85000000
700,0.00000000,44.10000000
