wl,sci,sce
360,7.76000000,4.57000000
370,9.46000000,6.18000000
380,13.28000000,9.89000000
390,22.59000000,19.09000000
400,40.66000000,37.06000000
410,60.46000000,56.76000000
420,69.38000000,65.58000000
430,71.44000000,67.55000000
440,72.61000000,68.66000000
450,73.38000000,69.40000000
460,73.76000000,69.77000000
470,73.83000000,69.86000000
480,74.03000000,70.08000000
490,74.28000000,70.35000000
500,74.76000000,70.85000000
510,75.46000000,71.56000000
520,76.10000000,72.22000000
530,76.52000000,72.65000000
540,77.00000000,73.14000000
550,77.28000000,73.43000000
560,77.54000000,73.71000000
570,77.76000000,73.93000000
580,77.85000000,74.02000000
590,77.89000000,74.07000000
600,77.83000000,74.02000000
610,77.63000000,73.82000000
620,77.46000000,73.68000000
630,77.32000000,73.55000000
640,77.13000000,73.36000000
650,76.92000000,73.16000000
660,76.69000000,72.94000000
670,76.47000000,72.74000000
680,76.20000000,72.47000000
690,76.04000000,72.32000000
700,75.69000000,71.99000000
710,75.41000000,71.72000000
720,75.21000000,71.53000000
730,74.96000000,71.29000000
740,74.57000000,70.91000000
