wl,sci,sce
360,8.87000000,8.78000000
370,10.16000000,10.07000000
380,13.24000000,13.14000000
390,20.04000000,19.93000000
400,31.35000000,31.23000000
410,40.28000000,40.16000000
420,43.24000000,43.12000000
430,44.76000000,44.63000000
440,46.59000000,46.46000000
450,48.03000000,47.90000000
460,48.64000000,48.50000000
470,48.83000000,48.70000000
480,49.11000000,48.98000000
490,49.90000000,49.77000000
500,51.28000000,51.14000000
510,52.87000000,52.73000000
520,54.60000000,54.46000000
530,56.28000000,56.14000000
540,57.80000000,57.66000000
550,59.21000000,59.06000000
560,60.70000000,60.55000000
570,62.21000000,62.05000000
580,63.36000000,63.20000000
590,63.98000000,63.83000000
600,64.18000000,64.02000000
610,64.13000000,63.97000000
620,63.92000000,63.76000000
630,63.72000000,63.57000000
640,63.53000000,63.38000000
650,63.32000000,63.18000000
660,63.18000000,63.06000000
670,62.96000000,62.85000000
680,62.77000000,62.65000000
690,62.72000000,62.61000000
700,62.56000000,62.45000000
710,62.40000000,62.29000000
720,62.25000000,62.14000000
730,62.17000000,62.06000000
740,61.86000000,61.75000000
