wl,sci,sce
360,6.97000000,6.35000000
370,8.89000000,8.25000000
380,12.82000000,12.15000000
390,20.52000000,19.82000000
400,31.83000000,31.11000000
410,41.06000000,40.30000000
420,45.69000000,44.90000000
430,48.33000000,47.51000000
440,50.74000000,49.89000000
450,53.17000000,52.30000000
460,55.48000000,54.59000000
470,57.32000000,56.43000000
480,59.09000000,58.19000000
490,60.56000000,59.65000000
500,61.96000000,61.05000000
510,63.33000000,62.42000000
520,64.36000000,63.45000000
530,65.01000000,64.10000000
540,65.75000000,64.85000000
550,66.40000000,65.50000000
560,66.90000000,66.00000000
570,67.28000000,66.39000000
580,67.79000000,66.90000000
590,68.13000000,67.25000000
600,68.35000000,67.47000000
610,68.63000000,67.76000000
620,68.83000000,67.98000000
630,69.09000000,68.24000000
640,69.25000000,68.42000000
650,69.40000000,68.57000000
660,69.47000000,68.66000000
670,69.39000000,68.59000000
680,69.54000000,68.74000000
690,69.67000000,68.87000000
700,69.78000000,69.00000000
710,69.81000000,69.04000000
720,69.86000000,69.11000000
730,69.85000000,69.10000000
740,69.66000000,68.92000000
