wl,sci,sce
400,0.00000000,18.83000000
410,0.00000000,24.09000000
420,0.00000000,25.95000000
430,0.00000000,26.86000000
440,0.00000000,27.99000000
450,0.00000000,28.87000000
460,0.00000000,28.78000000
470,0.00000000,27.86000000
480,0.00000000,26.28000000
490,0.00000000,24.43000000
500,0.00000000,22.39000000
510,0.00000000,20.48000000
520,0.00000000,18.58000000
530,0.00000000,16.65000000
540,0.00000000,14.60000000
550,0.00000000,12.61000000
560,0.00000000,10.87000000
570,0.00000000,10.15000000
580,0.00000000,10.67000000
590,0.00000000,10.99000000
600,0.00000000,10.80000000
610,0.00000000,10.62000000
620,0.00000000,11.05000000
630,0.00000000,12.27000000
640,0.00000000,13.86000000
650,0.00000000,15.25000000
660,0.00000000,16.02000000
670,0.00000000,15.64000000
680,0.00000000,14.22000000
690,0.00000000,13.08000000
700,0.00000000,13.06000000
