wl,sci,sce
360,22.78000000,22.88000000
370,23.93000000,24.05000000
380,25.33000000,25.46000000
390,26.69000000,26.82000000
400,28.08000000,28.23000000
410,29.35000000,29.51000000
420,30.65000000,30.82000000
430,32.23000000,32.41000000
440,33.87000000,34.05000000
450,35.12000000,35.31000000
460,35.77000000,35.95000000
470,36.18000000,36.37000000
480,36.76000000,36.95000000
490,37.73000000,37.91000000
500,39.13000000,39.31000000
510,40.66000000,40.84000000
520,42.17000000,42.35000000
530,43.56000000,43.73000000
540,44.87000000,45.05000000
550,46.01000000,46.19000000
560,46.96000000,47.14000000
570,47.67000000,47.84000000
580,48.10000000,48.27000000
590,48.32000000,48.50000000
600,48.41000000,48.58000000
610,48.44000000,48.62000000
620,48.35000000,48.53000000
630,48.31000000,48.49000000
640,48.19000000,48.39000000
650,48.11000000,48.30000000
660,47.96000000,48.17000000
670,47.78000000,47.98000000
680,47.67000000,47.86000000
690,47.58000000,47.78000000
700,47.42000000,47.62000000
710,47.34000000,47.53000000
720,47.18000000,47.37000000
730,47.19000000,47.37000000
740,47.06000000,47.24000000
