wl,sci,sce
360,37.61000000,33.44000000
370,45.27000000,41.12000000
380,51.58000000,47.44000000
390,56.31000000,52.20000000
400,60.25000000,56.15000000
410,62.79000000,58.71000000
420,64.13000000,60.07000000
430,65.00000000,60.96000000
440,65.67000000,61.64000000
450,66.53000000,62.51000000
460,67.12000000,63.12000000
470,67.40000000,63.40000000
480,67.57000000,63.57000000
490,68.09000000,64.10000000
500,68.78000000,64.79000000
510,69.17000000,65.20000000
520,69.44000000,65.48000000
530,69.61000000,65.65000000
540,69.89000000,65.92000000
550,70.12000000,66.16000000
560,69.93000000,65.96000000
570,69.28000000,65.31000000
580,68.58000000,64.61000000
590,68.51000000,64.53000000
600,69.12000000,65.14000000
610,69.77000000,65.78000000
620,70.09000000,66.10000000
630,70.41000000,66.42000000
640,70.99000000,67.00000000
650,71.85000000,67.86000000
660,73.30000000,69.31000000
670,75.17000000,71.18000000
680,77.04000000,73.05000000
690,78.80000000,74.82000000
700,80.38000000,76.42000000
710,81.60000000,77.66000000
720,82.22000000,78.29000000
730,82.79000000,78.88000000
740,82.88000000,78.99000000
