wl,sci,sce
360,4.37000000,4.21000000
370,4.42000000,4.26000000
380,4.60000000,4.44000000
390,4.93000000,4.78000000
400,5.45000000,5.30000000
410,5.98000000,5.83000000
420,6.35000000,6.21000000
430,6.52000000,6.38000000
440,6.65000000,6.51000000
450,6.89000000,6.75000000
460,7.11000000,6.97000000
470,7.15000000,7.02000000
480,7.18000000,7.05000000
490,7.41000000,7.27000000
500,8.24000000,8.11000000
510,10.15000000,10.02000000
520,13.15000000,13.02000000
530,15.79000000,15.67000000
540,17.14000000,17.03000000
550,17.58000000,17.47000000
560,17.10000000,17.00000000
570,15.61000000,15.51000000
580,13.99000000,13.89000000
590,12.99000000,12.89000000
600,12.44000000,12.34000000
610,11.78000000,11.68000000
620,11.06000000,10.96000000
630,10.67000000,10.55000000
640,9.96000000,9.81000000
650,8.99000000,8.79000000
660,8.25000000,8.05000000
670,7.75000000,7.55000000
680,8.29000000,8.07000000
690,11.13000000,10.88000000
700,18.41000000,18.12000000
710,27.49000000,27.18000000
720,37.54000000,37.20000000
730,48.96000000,48.61000000
740,59.26000000,58.92000000
