wl,sci,sce
360,14.48000000,14.32000000
370,14.62000000,14.50000000
380,16.57000000,16.49000000
390,20.63000000,20.61000000
400,31.92000000,31.96000000
410,60.74000000,60.83000000
420,94.28000000,94.41000000
430,107.96000000,108.11000000
440,110.06000000,110.18000000
450,104.00000000,104.06000000
460,96.73000000,96.71000000
470,92.77000000,92.68000000
480,88.45000000,88.24000000
490,85.13000000,84.81000000
500,83.53000000,83.11000000
510,81.86000000,81.34000000
520,79.81000000,79.23000000
530,78.22000000,77.62000000
540,77.37000000,76.79000000
550,76.86000000,76.26000000
560,76.33000000,75.73000000
570,75.90000000,75.31000000
580,75.66000000,75.09000000
590,75.57000000,75.00000000
600,75.56000000,74.99000000
610,75.74000000,75.18000000
620,76.03000000,75.47000000
630,76.23000000,75.66000000
640,76.42000000,75.85000000
650,76.55000000,75.98000000
660,76.64000000,76.08000000
670,76.68000000,76.13000000
680,76.63000000,76.09000000
690,76.59000000,76.07000000
700,76.42000000,75.91000000
710,76.41000000,75.90000000
720,76.25000000,75.76000000
730,76.25000000,75.77000000
740,76.22000000,75.74000000
