wl,sci,sce
400,0.00000000,1.89000000
410,0.00000000,1.95000000
420,0.00000000,2.02000000
430,0.00000000,2.08000000
440,0.00000000,2.16000000
450,0.00000000,2.22000000
460,0.00000000,2.27000000
470,0.00000000,2.34000000
480,0.00000000,2.39000000
490,0.00000000,2.45000000
500,0.00000000,2.52000000
510,0.00000000,2.60000000
520,0.00000000,2.69000000
530,0.00000000,2.79000000
540,0.00000000,2.89000000
550,0.00000000,3.01000000
560,0.00000000,3.13000000
570,0.00000000,3.26000000
580,0.00000000,3.39000000
590,0.00000000,3.52000000
600,0.00000000,3.68000000
610,0.00000000,3.85000000
620,0.00000000,4.03000000
630,0.00000000,4.23000000
640,0.00000000,4.43000000
650,0.00000000,4.65000000
660,0.00000000,4.88000000
670,0.00000000,5.13000000
680,0.00000000,5.41000000
690,0.00000000,5.73000000
700,0.00000000,6.06000000
